hora;FosilN;HidroN;SolarN;SolarDN;EolicoN;ImpoN;FosilC;HidroC;SolarC;SolarDC;EolicoC;ImpoC;FosilO;HidroO;SolarO;SolarDO;EolicoO;ImpoO;FosilS;HidroS;SolarS;SolarDS;EolicoS;ImpoS
Dry:1-2;26.5;157.5;0.0;0.0;0.0;390.0;441.8;217.7;0.0;0.0;144.7;0.0;435.7;473.6;0.0;0.0;311.4;0.0;384.9;8.5;0.0;0.0;0.0;3.7
Dry:3-4;57.0;117.3;0.0;0.0;0.0;390.0;491.9;162.1;0.0;0.0;111.2;0.0;438.5;473.6;0.0;0.0;296.2;0.0;384.9;6.4;0.0;0.0;0.0;2.7
Dry:5-6;57.0;118.4;0.0;0.0;0.0;390.0;490.2;163.7;0.0;0.0;111.9;0.0;440.8;473.6;0.0;0.0;293.4;0.0;384.9;6.4;0.0;0.0;0.0;2.5
Dry:7-8;7.0;180.2;25.7;19.8;0.0;340.9;246.9;249.0;59.5;14.6;160.7;0.0;453.3;473.6;1.4;27.5;264.5;0.0;356.0;9.8;62.1;8.5;0.0;0.0
Dry:9-10;6.9;142.4;142.1;109.0;0.0;88.6;0.0;305.9;328.6;80.3;205.7;0.0;38.9;475.9;7.9;151.6;246.0;32.6;0.0;12.8;342.9;46.7;0.0;0.0
Dry:11-12;6.9;0.0;204.7;157.0;0.0;193.8;0.0;0.0;473.3;115.6;15.3;0.0;38.8;334.3;11.4;218.3;300.2;43.4;0.0;0.0;488.8;67.2;0.0;0.0
Dry:13-14;7.1;0.0;207.6;159.3;0.0;183.8;0.0;0.0;480.1;117.3;19.6;0.0;39.7;212.9;11.6;221.5;382.5;71.5;0.0;0.0;486.2;68.2;0.0;0.0
Dry:15-16;7.1;94.3;159.8;122.6;0.0;186.6;0.0;0.0;369.6;90.3;23.5;51.0;40.0;475.9;8.9;170.5;456.4;0.0;0.0;0.0;385.6;52.5;0.0;0.0
Dry:17-18;7.1;253.5;50.5;38.7;0.0;239.8;0.0;350.5;116.7;28.5;230.0;29.7;171.8;475.9;2.8;53.8;447.2;0.0;353.3;13.7;121.8;16.6;0.0;0.0
Dry:19-20;7.3;361.3;0.1;0.1;0.0;250.8;135.9;505.6;0.1;0.0;321.4;0.0;292.3;483.8;0.0;0.1;448.9;0.0;356.0;19.8;0.1;0.0;0.0;39.3
Dry:21-22;7.3;354.9;0.0;0.0;0.0;257.8;160.8;490.5;0.0;0.0;309.3;0.0;353.6;483.8;0.0;0.0;387.6;0.0;356.0;19.2;0.0;0.0;0.0;39.7
Dry:23-24;7.1;244.5;0.0;0.0;0.0;345.3;336.0;338.0;0.0;0.0;216.4;0.0;418.2;475.9;0.0;0.0;330.9;0.0;372.8;13.3;0.0;0.0;0.0;20.0
Wet:1-2;2.9;305.5;0.0;0.0;0.0;266.2;136.6;422.2;0.0;0.0;264.8;0.0;479.2;447.4;0.0;0.0;294.8;0.0;356.0;16.6;0.0;0.0;0.0;24.9
Wet:3-4;2.9;289.1;0.0;0.0;0.0;273.9;158.7;399.6;0.0;0.0;251.5;0.0;466.4;447.4;0.0;0.0;294.9;0.0;356.0;15.7;0.0;0.0;0.0;22.4
Wet:5-6;2.9;287.7;0.1;0.1;0.0;274.2;160.3;397.7;0.2;0.0;250.1;0.0;472.3;447.4;0.0;0.1;287.3;0.0;356.0;15.6;0.2;0.0;0.0;21.9
Wet:7-8;2.9;307.6;32.0;25.0;0.0;202.4;0.0;425.2;74.0;18.4;264.1;10.2;370.8;447.4;1.8;34.7;247.5;0.0;356.0;16.7;77.2;10.7;0.0;0.0
Wet:9-10;2.8;224.4;141.5;110.3;0.0;108.1;0.0;300.8;327.1;81.2;289.2;0.0;16.0;411.8;7.9;153.4;250.4;111.8;0.0;18.3;341.3;47.2;0.0;0.0
Wet:11-12;2.9;0.0;197.6;154.1;0.0;208.3;0.0;0.0;457.1;113.5;16.1;0.0;16.3;392.6;11.1;214.3;315.5;0.0;0.0;0.0;476.9;66.0;0.0;0.0
Wet:13-14;2.9;0.0;192.3;150.0;0.0;214.8;0.0;0.0;444.8;110.5;20.7;0.0;16.4;333.4;10.8;208.6;403.1;0.0;0.0;0.0;464.1;64.2;0.0;0.0
Wet:15-16;2.9;0.0;151.2;118.0;0.0;88.3;0.0;264.4;349.8;86.9;287.5;22.9;16.4;411.8;8.5;164.0;450.1;0.0;0.0;0.0;365.0;50.5;0.0;0.0
Wet:17-18;2.8;306.5;59.3;46.3;0.0;171.4;0.0;481.4;137.2;34.1;305.4;0.0;29.1;411.8;3.3;64.4;411.9;0.0;326.8;18.9;143.2;19.8;0.0;0
Wet:19-20;2.9;364.1;1.7;1.3;0.0;240.3;52.9;548.2;3.9;1.0;342.7;0.0;439.4;415.0;0.1;1.8;370.5;0.0;356.0;21.5;4.0;0.6;0.0;29.6
Wet:21-22;2.9;365.8;0.0;0.0;0.0;249.3;73.7;569.0;0.0;0.0;353.7;0.0;466.3;415.0;0.0;0.0;343.7;0.0;356.0;22.3;0.0;0.0;0.0;36.3
Wet:23-24;2.8;350.4;0.0;0.0;0.0;244.2;102.8;484.4;0.0;0.0;302.4;0.0;498.4;411.8;0.0;0.0;314.7;0.0;356.0;19.0;0.0;0.0;0.0;31.3

