hora;HidroN;SolarN;EolicoN;HidroC;SolarC;EolicoC;HidroO;SolarO;EolicoO;HidroS;SolarS;EolicoS
Dry:1-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:3-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:5-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:7-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:9-10;94.3;0.0;0.0;21.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:11-12;257.7;0.0;0.0;356.2;0.0;0.0;141.6;0.0;0.0;14.0;5.1;0.0
Dry:13-14;228.3;0.0;0.0;315.5;0.0;0.0;263.0;0.0;0.0;12.4;14.7;0.0
Dry:15-16;158.2;0.0;0.0;349.0;0.0;0.0;0.0;0.0;0.0;13.7;0.0;0.0
Dry:17-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:19-20;4.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:21-22;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Dry:23-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:1-2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:3-4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:5-6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:7-8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:9-10;113.9;0.0;0.0;166.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:11-12;350.0;0.0;0.0;483.9;0.0;0.0;19.2;0.0;0.0;19.0;0.0;0.0
Wet:13-14;332.5;0.0;0.0;459.7;0.0;0.0;78.4;0.0;0.0;18.0;0.0;0.0
Wet:15-16;351.5;0.0;0.0;221.6;0.0;0.0;0.0;0.0;0.0;19.1;0.0;0.0
Wet:17-18;41.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:19-20;32.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:21-22;45.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Wet:23-24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
