anio;fload
2023;0.332781208198516
2024;0.317032308681048
2025;0.182286586667545
2026;0.14617625938754
2027;0.132809759180968
2028;0.123216826964442
2029;0.0853592199930542
2030;0.0379120508230432
2031;0.0401680961583702
2032;0.0440755490280935
2033;0.0493650091135505
2034;0.0529270457402107
2035;0.0545276744189875
2036;0.0567324714083529
2037;0.0643486639163408
2038;0.0731162094383227
2039;0.0839152492455905
2040;0.0950139465289268
2041;0.107254205639165
2042;0.120192605149227
2043;0.134045546555837
2044;0.148660558783024
2045;0.164838742083199
2046;0.181621624766217
2047;0.198963109103987
2048;0.213562725053787
2049;0.232368603249661
2050;0.240378054278243
