hora;loadN;loadC;loadO;loadS
Dry:1-2;521.8;500.0;873.2;361.1
Dry:3-4;514.2;494.7;862.0;358.1
Dry:5-6;513.9;494.5;861.6;358.0
Dry:7-8;503.4;486.3;847.9;353.0
Dry:9-10;416.6;421.8;728.3;315.3
Dry:11-12;368.5;386.2;662.0;294.5
Dry:13-14;362.2;381.7;652.9;292.0
Dry:15-16;407.0;414.6;715.5;311.0
Dry:17-18;500.8;483.6;846.0;351.2
Dry:19-20;564.0;529.4;935.7;377.4
Dry:21-22;563.5;529.0;934.9;377.2
Dry:23-24;542.6;514.4;904.0;369.1
Wet:1-2;522.3;500.3;873.9;361.2
Wet:3-4;514.4;494.8;862.3;358.2
Wet:5-6;513.4;494.1;860.8;357.8
Wet:7-8;495.2;480.3;836.4;349.6
Wet:9-10;414.4;420.3;725.3;314.4
Wet:11-12;371.7;388.6;666.4;295.9
Wet:13-14;372.8;389.5;667.6;296.5
Wet:15-16;412.6;418.7;723.4;313.4
Wet:17-18;491.9;477.1;833.5;347.3
Wet:19-20;554.5;522.7;921.7;373.6
Wet:21-22;562.7;528.4;933.7;376.9
Wet:23-24;543.0;514.8;904.7;369.3
