hora;loadN;loadC;loadO;loadS
Dry: Hr 1-2;521.8;500.0;873.2;361.1
Dry: Hr 3-4;514.2;494.7;862.0;358.1
Dry: Hr 5-6;513.9;494.5;861.6;358.0
Dry: Hr 7-8;523.1;500.8;875.4;361.5
Dry: Hr 9-10;525.6;502.1;879.9;362.0
Dry: Hr 11-12;525.5;501.9;880.3;361.8
Dry: Hr 13-14;521.5;499.0;874.4;360.2
Dry: Hr 15-16;529.6;504.8;886.0;363.5
Dry: Hr 17-18;539.5;512.1;899.9;367.7
Dry: Hr 19-20;564.1;529.4;935.8;377.4
Dry: Hr 21-22;563.5;529.0;934.9;377.2
Dry: Hr 23-24;542.6;514.4;904.0;369.1
Wet: Hr 1-2;522.3;500.3;873.9;361.2
Wet: Hr 3-4;514.4;494.8;862.3;358.2
Wet: Hr 5-6;513.5;494.2;860.9;357.8
Wet: Hr 7-8;520.2;498.7;871.1;360.3
Wet: Hr 9-10;524.7;501.5;878.7;361.7
Wet: Hr 11-12;525.8;502.1;880.7;361.9
Wet: Hr 13-14;522.8;500.0;876.2;360.7
Wet: Hr 15-16;530.6;505.5;887.4;363.9
Wet: Hr 17-18;538.2;511.2;897.9;367.2
Wet: Hr 19-20;555.8;523.6;923.5;374.2
Wet: Hr 21-22;562.7;528.4;933.7;376.9
Wet: Hr 23-24;543.0;514.8;904.7;369.3
