Anio;Fosil;Hidro;Solar;SolarD;Eolico;Demanda
2023.0;71.4;20.3;4.4;0.3;3.6;100.0
2024.0;71.4;20.3;4.5;0.5;3.6;102.2
2025.0;71.4;30.4;8.2;1.2;7.9;104.5
2026.0;71.4;30.4;14.3;2.1;12.0;106.8
2027.0;71.4;33.6;14.3;3.3;12.0;109.2
2028.0;71.4;33.6;20.7;4.7;13.4;111.5
2029.0;71.4;38.9;23.9;6.3;13.4;113.9
2030.0;71.4;49.6;30.4;7.9;13.4;116.4
2031.0;71.4;49.6;43.2;9.5;14.0;118.9
2032.0;71.4;49.6;43.2;11.2;14.0;121.6
2033.0;71.4;49.6;43.2;12.8;14.0;124.3
2034.0;71.4;49.6;46.1;14.4;15.4;127.1
2035.0;71.4;49.6;46.1;15.8;18.2;130.0
2036.0;71.4;49.6;46.1;17.2;21.0;132.9
2037.0;71.4;49.6;46.1;18.5;21.0;136.0
2038.0;71.4;49.6;46.1;19.6;21.0;139.1
2039.0;71.4;49.6;46.1;20.6;21.0;142.4
2040.0;71.4;49.6;46.1;21.4;21.0;145.7
2041.0;71.4;49.6;46.1;22.1;21.0;149.1
2042.0;71.4;49.6;46.1;22.8;21.0;152.6
2043.0;71.4;49.6;46.1;23.3;21.0;156.1
2044.0;71.4;49.6;46.1;23.8;21.0;159.8
2045.0;71.4;49.6;46.1;24.2;21.0;163.7
2046.0;71.4;49.6;46.1;24.6;21.0;167.6
2047.0;71.4;49.6;46.1;25.1;21.0;171.6
2048.0;71.4;49.6;46.1;25.6;22.0;175.7
2049.0;71.4;49.6;46.1;26.2;22.0;179.9
2050.0;71.7;49.6;46.1;27.1;24.8;184.2
